country,ccode,year,tier,minstand,efforts,TRAFFICKING_FLOWS,source,source_order,transit,transit_order,destination,destination_order,internal,TRAFFICKING_TYPES,psource,ptransit,pdest,pinternal,lsource,ltransit,ldest,linternal,dsource,dtransit,ddest,dinternal,dssource,dstransit,dsdest,dsinternal,cpsource,cptransit,cpdest,cpinternal,clsource,cltransit,cldest,clinternal,cssource,cstransit,csdest,csinternal,PROSECUTION,domesticlaws,enforcement,convictinfo,prosnum,PROTECTION,protectprogress,victimid,victimservices,victimpunish,PREVENTION,preventprogress,INTERNATIONAL_LAWS,UNP_sign,UNP_rat,ILO182,ILO29,ILO105,CEDAW_sign,CEDAW_rat,UNCRC_sign,UNCRC_rat,conflict_sign,conflict_rat
Canada,20,2001,Tier 1,Yes,Yes,,No,No mention,Yes,First mention,Yes,Second mention,Yes,,No mention,Yes,Yes,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,No mention,,,No mention,No mention,No mention,No mention,,No mention,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2002,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,No mention,,,No mention,No mention,Yes,No mention,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2003,Tier 2/2 Watch List,No,Yes,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,Some,No mention,,,No mention,No mention,Yes,No mention,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2004,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,Yes,,No mention,Yes,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,40,,No mention,No mention,Yes,No mention,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2005,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,Yes,,No mention,Yes,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,No mention,Yes,19,,No mention,No mention,Yes,No,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2006,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,15,,No mention,No mention,No mention,No mention,,Some,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2007,Tier 1,Yes,Yes,,No,No mention,Yes,Third mention,Yes,Second mention,Yes,,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,9,,Yes,No mention,Yes,No mention,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2008,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Some,Yes,17,,Yes,No mention,Yes,No,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2009,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,Yes,Yes,5,,Yes,No mention,Yes,No,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2010,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,Yes,Yes,32,,Yes,No,Yes,No,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
Canada,20,2011,Tier 1,Yes,2,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,68,,Yes,No,Yes,No,,Yes,,14 Dec 2000Ê,13 May 2002Ê,6-Jun-00,13-Jun-11,14-Jul-59,17 Jul 1980Ê,10 Dec 1981Ê,10 Nov 2001Ê,14 Sep 2005Ê,Ê5 Jun 2000Ê,Ê7 Jul 2000Ê
"Bahamas, The",31,2006,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,No mention,,,No,No mention,No mention,No mention,,Some,,Ê9 Apr 2001Ê,26 Sep 2008Ê,14-Jun-01,25-May-76,25-May-76,,Ê6 Oct 1993 a,,,,
"Bahamas, The",31,2007,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,Yes,0,,No,No,No,No mention,,Some,,Ê9 Apr 2001Ê,26 Sep 2008Ê,14-Jun-01,25-May-76,25-May-76,,Ê6 Oct 1993 a,,,,
"Bahamas, The",31,2008,Special Case,No mention,No mention,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,Yes,0,,No,No,No,No mention,,Some,,Ê9 Apr 2001Ê,26 Sep 2008Ê,14-Jun-01,25-May-76,25-May-76,,Ê6 Oct 1993 a,,,,
"Bahamas, The",31,2009,Tier 2/2 Watch List,No,Yes,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,No,Yes,0,,Yes,No,No,No,,Some,,Ê9 Apr 2001Ê,26 Sep 2008Ê,14-Jun-01,25-May-76,25-May-76,,Ê6 Oct 1993 a,,,,
"Bahamas, The",31,2010,Tier 2/2 Watch List,No,Yes,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,No,Yes,0,,No,No,No,No,,Some,,Ê9 Apr 2001Ê,26 Sep 2008Ê,14-Jun-01,25-May-76,25-May-76,,Ê6 Oct 1993 a,,,,
"Bahamas, The",31,2011,Tier 2/2 Watch List,No,2,,Yes,Second mention,Yes,Third mention,Yes,First mention,No,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Some,Yes,0,,No,No,Yes,Yes,,Some,,Ê9 Apr 2001Ê,26 Sep 2008Ê,14-Jun-01,25-May-76,25-May-76,,Ê6 Oct 1993 a,,,,
Cuba,40,2003,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,No mention,,,No,No mention,Yes,No mention,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2004,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,No,No,No mention,,,No,No mention,No,No mention,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2005,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,No,No mention,No mention,,,No,No mention,No,No mention,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2006,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,No,,Yes,No mention,No mention,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,No,No,No,,,No,No mention,No,Yes,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2007,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No,No,No mention,Yes,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2008,Tier 3,No,No,,Yes,First mention,Yes,Second mention,No,No mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,Some,No mention,2,,No mention,No,Yes,No mention,,No mention,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2009,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No,No,Yes,Yes,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2010,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No,No,Yes,No mention,,Some,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Cuba,40,2011,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,No,,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,No,,,No,No,Yes,Yes,,No,,,20 Jun 2013 a,,20-Jul-53,2-Jun-58,Ê6 Mar 1980Ê,17 Jul 1980Ê,13 Oct 2000Ê,25 Sep 2001Ê,13 Oct 2000Ê,Ê9 Feb 2007Ê
Haiti,41,2001,Tier 2/2 Watch List,No,Yes,,Yes,First mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,Some,No mention,,,Yes,No mention,No mention,No mention,,Some,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2002,Tier 2/2 Watch List,No,Yes,,Yes,First mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No,No mention,0,,No,No mention,No,No mention,,Some,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2003,Tier 3,No,No,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,No mention,Yes,No mention,Yes,Yes,No mention,Yes,No mention,Yes,No mention,No mention,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No,No mention,0,,Yes,No mention,No mention,No mention,,Some,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2004,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,,No mention,No mention,No mention,,,No mention,No mention,No mention,No mention,,No mention,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2005,Tier 2/2 Watch List,No,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,Some,Yes,0,,Yes,No mention,No mention,No mention,,No,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2006,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,Yes,Yes,No mention,Yes,No mention,No mention,No mention,No mention,,No mention,No mention,No mention,,,No mention,No mention,No mention,No mention,,No mention,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2007,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,Yes,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,No mention,No mention,No mention,,,No mention,No mention,No mention,No mention,,No mention,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
Haiti,41,2008,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,Yes,No mention,No mention,No mention,,No mention,,13 Dec 2000Ê,19 Apr 2011Ê,19-Jul-07,4-Mar-58,4-Mar-58,17 Jul 1980Ê,20 Jul 1981Ê,15 Aug 2002Ê,,15 Aug 2002Ê,
